Time,Sx,Sy,Sz,Hx,Hy,Hz
0,0,0,1,0,0,0
0.06006,0,0,1,0,0,0
0.12012,0,0,1,0,0,0
0.18018,0,0,1,0,0,0
0.24024,0,0,1,0,0,0
0.3003,0,0,1,0,0,0
0.36036,0,0,1,0,0,0
0.42042,0,0,1,0,0,0
0.48048,0,0,1,0,0,0
0.54054,0,0,1,0,0,0
0.6006,0,0,1,0,0,0
0.66066,0,0,1,0,0,0
0.72072,0,0,1,0,0,0
0.78078,0,0,1,0,0,0
0.84084,0,0,1,0,0,0
0.9009,0,0,1,0,0,0
0.96096,0,0,1,0,0,0
1.02102,0,0,1,0,0,0
1.08108,0,0,1,0,0,0
1.14114,0,0,1,0,0,0
1.2012,0,0,1,0,0,0
1.26126,0,0,1,0,0,0
1.32132,0,0,1,0,0,0
1.38138,0,0,1,0,0,0
1.44144,0,0,1,0,0,0
1.5015,0,0,1,0,0,0
1.56156,0,0,1,0,0,0
1.62162,0,0,1,0,0,0
1.68168,0,0,1,0,0,0
1.74174,0,0,1,0,0,0
1.8018,0,0,1,0,0,0
1.86186,0,0,1,0,0,0
1.92192,0,0,1,0,0,0
1.98198,0,0,1,0,0,0
2.04204,0,0,1,0,0,0
2.1021,0,0,1,0,0,0
2.16216,0,0,1,0,0,0
2.22222,0,0,1,0,0,0
2.28228,0,0,1,0,0,0
2.34234,0,0,1,0,0,0
2.4024,0,0,1,0,0,0
2.46246,0,0,1,0,0,0
2.52252,0,0,1,0,0,0
2.58258,0,0,1,0,0,0
2.64264,0,0,1,0,0,0
2.7027,0,0,1,0,0,0
2.76276,0,0,1,0,0,0
2.82282,0,0,1,0,0,0
2.88288,0,0,1,0,0,0
2.94294,0,0,1,0,0,0
3.003,0,0,1,0,0,0
3.06306,0,0,1,0,0,0
3.12312,0,0,1,0,0,0
3.18318,0,0,1,0,0,0
3.24324,0,0,1,0,0,0
3.3033,0,0,1,0,0,0
3.36336,0,0,1,0,0,0
3.42342,0,0,1,0,0,0
3.48348,0,0,1,0,0,0
3.54354,0,0,1,0,0,0
3.6036,0,0,1,0,0,0
3.66366,0,0,1,0,0,0
3.72372,0,0,1,0,0,0
3.78378,0,0,1,0,0,0
3.84384,0,0,1,0,0,0
