Time,Sx,Sy,Sz,Hx,Hy,Hz
0,0,0,-1,0,0,12.56637061
2,0,0,-0.975024513,0,0,12.56637061
4,0,0,-0.950360914,0,0,12.56637061
6,0,0,-0.926005307,0,0,12.56637061
8,0,0,-0.901953847,0,0,12.56637061
10,0,0,-0.878202735,0,0,12.56637061
12,0,0,-0.854748221,0,0,12.56637061
14,0,0,-0.831586601,0,0,12.56637061
16,0,0,-0.808714217,0,0,12.56637061
18,0,0,-0.786127458,0,0,12.56637061
20,0,0,-0.763822757,0,0,12.56637061
22,0,0,-0.74179659,0,0,12.56637061
24,0,0,-0.720045481,0,0,12.56637061
26,0,0,-0.698565995,0,0,12.56637061
28,0,0,-0.677354738,0,0,12.56637061
30,0,0,-0.656408363,0,0,12.56637061
32,0,0,-0.63572356,0,0,12.56637061
34,0,0,-0.615297064,0,0,12.56637061
36,0,0,-0.595125648,0,0,12.56637061
38,0,0,-0.575206128,0,0,12.56637061
40,0,0,-0.555535358,0,0,12.56637061
42,0,0,-0.536110232,0,0,12.56637061
44,0,0,-0.516927681,0,0,12.56637061
46,0,0,-0.497984678,0,0,12.56637061
48,0,0,-0.479278229,0,0,12.56637061
50,0,0,-0.460805382,0,0,12.56637061
52,0,0,-0.442563219,0,0,12.56637061
54,0,0,-0.42454886,0,0,12.56637061
56,0,0,-0.406759459,0,0,12.56637061
58,0,0,-0.389192208,0,0,12.56637061
60,0,0,-0.371844332,0,0,12.56637061
62,0,0,-0.354713092,0,0,12.56637061
64,0,0,-0.337795782,0,0,12.56637061
66,0,0,-0.321089732,0,0,12.56637061
68,0,0,-0.304592302,0,0,12.56637061
70,0,0,-0.288300888,0,0,12.56637061
72,0,0,-0.272212917,0,0,12.56637061
74,0,0,-0.256325848,0,0,12.56637061
76,0,0,-0.240637173,0,0,12.56637061
78,0,0,-0.225144415,0,0,12.56637061
80,0,0,-0.209845126,0,0,12.56637061
82,0,0,-0.19473689,0,0,12.56637061
84,0,0,-0.179817322,0,0,12.56637061
86,0,0,-0.165084066,0,0,12.56637061
88,0,0,-0.150534795,0,0,12.56637061
90,0,0,-0.136167212,0,0,12.56637061
92,0,0,-0.121979047,0,0,12.56637061
94,0,0,-0.107968061,0,0,12.56637061
96,0,0,-0.09413204,0,0,12.56637061
98,0,0,-0.080468799,0,0,12.56637061
100,0,0,-0.066976182,0,0,12.56637061
102,0,0,-0.053652057,0,0,12.56637061
104,0,0,-0.040494321,0,0,12.56637061
106,0,0,-0.027500895,0,0,12.56637061
108,0,0,-0.014669727,0,0,12.56637061
110,0,0,-0.001998792,0,0,12.56637061
112,0,0,0.010513912,0,0,12.56637061
114,0,0,0.022870361,0,0,12.56637061
116,0,0,0.035072505,0,0,12.56637061
118,0,0,0.047122272,0,0,12.56637061
120,0,0,0.059021565,0,0,12.56637061
122,0,0,0.070772262,0,0,12.56637061
124,0,0,0.08237622,0,0,12.56637061
126,0,0,0.09383527,0,0,12.56637061
128,0,0,0.105151223,0,0,12.56637061
130,0,0,0.116325865,0,0,12.56637061
132,0,0,0.12736096,0,0,12.56637061
134,0,0,0.138258253,0,0,12.56637061
136,0,0,0.149019463,0,0,12.56637061
138,0,0,0.159646289,0,0,12.56637061
140,0,0,0.170140411,0,0,12.56637061
142,0,0,0.180503485,0,0,12.56637061
144,0,0,0.190737147,0,0,12.56637061
146,0,0,0.200843014,0,0,12.56637061
148,0,0,0.210822681,0,0,12.56637061
150,0,0,0.220677725,0,0,12.56637061
152,0,0,0.230409702,0,0,12.56637061
154,0,0,0.240020148,0,0,12.56637061
156,0,0,0.249510582,0,0,12.56637061
158,0,0,0.258882501,0,0,12.56637061
160,0,0,0.268137386,0,0,12.56637061
162,0,0,0.277276699,0,0,12.56637061
164,0,0,0.286301882,0,0,12.56637061
166,0,0,0.295214361,0,0,12.56637061
168,0,0,0.304015543,0,0,12.56637061
170,0,0,0.312706819,0,0,12.56637061
